transaction_id,date,description,amount,type,balance_after,recipient_account,sender_account
TXN-002-001,2024-01-03,Salary Credit,120000.0,credit,120000.0,,10000000002
TXN-002-002,2024-01-12,Received from Ali,20000.0,credit,140000.0,,10000000001
TXN-002-003,2024-01-25,Rent Payment,40000.0,debit,100000.0,,10000000002
TXN-002-004,2024-02-03,Salary Credit,120000.0,credit,220000.0,,10000000002
TXN-002-005,2024-02-20,Transfer to Bilal,15000.0,debit,205000.0,10000000007.0,10000000002
TXN-002-006,2024-03-03,Salary Credit,120000.0,credit,325000.0,,10000000002
TXN-002-007,2024-03-15,Online Shopping,12000.0,debit,313000.0,,10000000002
TXN-002-008,2024-04-03,Salary Credit,120000.0,credit,433000.0,,10000000002
TXN-002-009,2024-04-10,Utility Bills,7000.0,debit,426000.0,,10000000002
TXN-395928AC,2026-03-15,Transfer from Test User,5000.0,credit,285000.0,10000000002.0,58228796941
TXN-9F170C96,2026-03-15,Transfer from Test User,5000.0,credit,290000.0,10000000002.0,58228796941
TXN-75AB27D0,2026-03-15,Transfer from Test User,600000.0,credit,890000.0,10000000002.0,58228796941
TXN-A327CB90,2026-03-15,Transfer from Test User,600000.0,credit,1490000.0,10000000002.0,58228796941
TXN-8BC20543,2026-03-15,Transfer from Test User,600000.0,credit,2090000.0,10000000002.0,58228796941
TXN-CEC1EA48,2026-03-15,Transfer from Test User,600000.0,credit,690000.0,10000000002.0,58228796941
TXN-1FC6E2AF,2026-03-15,Transfer from Test User,600000.0,credit,1290000.0,10000000002,58228796941
